Suma de Camion y furgoneta Gasolina,Suma de Camion y furgoneta Gas-oil,Suma de Camion y furgoneta Otros,Suma de Autobuses Gasolina,Suma de Autobuses Gas-oil,Suma de Autobuses Otros,Suma de Turismos Gasolina,Suma de Turismos Gas-oil,Suma de Turismos Otros,Suma de Motocicletas Gasolina,Suma de Motocicletas Gas-oil,Suma de Motocicletas Otros,Suma de Tractor Gasolina,Suma de Tractor Otros,Suma de Otros Vehiculos Gasolina,Suma de Otros Vehiculos Gas-oil,Suma de Otros Vehiculos Otros,A̱o,"Camion y
furgoneta
Gasolina","Camion y
furgoneta
Gas-oil","Camion y
furgoneta
Otros","Autobuses
Gasolina","Autobuses
Gas-oil","Autobuses
Otros","Turismos
Gasolina","Turismos
Gas-oil","Turismos
Otros","Motocicletas
Gasolina","Motocicletas
Gas-oil","Motocicletas
Otros","Tractor
Gasolina","Tractor
Gas-oil","Tractor
Otros","Otros
Vehiculos
Gasolina","Otros
Vehiculos
Gas-oil","Otros
Vehiculos
Otros","Camion
Gasolina","Camion
Gas-oil","Camion
Otros","Furgoneta
Gasolina","Furgoneta
Gas-oil","Furgoneta
Otros","Autobuses
Total","Camiones
Gasolina","Camiones
Gasoil","Camiones
Otros","Furgonetas
Gasolina","Furgonetas
Gasoil","Furgonetas
Otros","Autobuses
Gasoil","Turismos
Gasoil","Motocicletas
Gasoil","Tractores
Industriales
Gasolina","Tractores
Industriales
Gasoil","Tractores
Industriales
Otros","Otros
Vehiculos
Gasoil",Unnamed: 4,Unnamed: 8,Unnamed: 12,Unnamed: 16,Unnamed: 20,Unnamed: 24,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
55875.0,516636.0,848.0,43.0,9477.0,712.0,1343478.0,1910402.0,2385.0,306600.0,164.0,958.0,0.0,0.0,11476.0,22241.0,2061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2015.0,54311.0,531362.0,1241.0,46.0,9457.0,776.0,1352435.0,1979738.0,4791.0,318780.0,265.0,1124.0,0.0,19548.0,0.0,11231.0,21835.0,1968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2016.0,53671.0,539243.0,1880.0,41.0,9459.0,995.0,1394487.0,2040981.0,6894.0,334049.0,336.0,1324.0,0.0,23142.0,0.0,11026.0,23372.0,2052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2017.0,,,,40.0,9614.0,1273.0,1470878.0,2138118.0,13093.0,345911.0,433.0,1599.0,0.0,25126.0,0.0,10879.0,23888.0,2170.0,5349.0,251509.0,1152.0,48204.0,315622.0,2166.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2018.0,,,,41.0,9327.0,1672.0,1579260.0,2150688.0,29954.0,360886.0,527.0,3024.0,0.0,27669.0,0.0,10748.0,25287.0,2303.0,5240.0,253587.0,1831.0,49470.0,340708.0,4103.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2019.0,,,,38.0,9061.0,1901.0,1703888.0,2110664.0,51510.0,377410.0,628.0,8129.0,0.0,30897.0,0.0,10652.0,27103.0,2453.0,5298.0,253236.0,2905.0,52070.0,355647.0,8538.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2020.0,,,,39.0,8732.0,2096.0,1746747.0,2072477.0,63734.0,390570.0,698.0,12209.0,0.0,31075.0,0.0,10702.0,28306.0,2567.0,5216.0,248031.0,3526.0,54629.0,368687.0,10537.0,10867.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2021.0,,,,37.0,,2.348,1.864.324,,76.631,402.094,,11.887,,,,10.916,,2.682,,,,,,,,5.071,254.441,4.695,58.949,382.496,13.124,8.711,2.032.813,765.0,0.0,30.081,0.0,30.094,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2022.0,,,,38.0,8657.0,2574.0,1987097,1992949.0,89023.0,415071.0,782.0,13447.0,0.0,31090.0,0.0,11042.0,29760.0,2918.0,5126.0,254580.0,5543.0,63576.0,396205.0,14480.0,,,,,,,,,,,,,,,,,,,,,,,,,
